"BnaA01g00520D"	"Cytochrome P450, Cytochrome P450, E-class, group I, Cytochrome P450, conserved site"
"BnaC06g18000D"	"Beclin family"
"BnaC06g18010D"	NA
"BnaC06g18020D"	NA
"BnaC06g18100D"	"Pentatricopeptide repeat"
"BnaC06g18110D"	NA
"BnaC06g18710D"	"Extensin repeat"
"BnaC06g19150D"	NA
"BnaC06g19300D"	NA
"BnaC06g19610D"	"MIF4G-like, type 3, Initiation factor eIF-4 gamma, MA3, MIF4-like, type 1/2/3, Armadillo-type fold"
"BnaC06g19620D"	NA
"BnaC06g20370D"	NA
"BnaC06g20990D"	NA
"BnaC06g21000D"	NA
"BnaC06g21580D"	"RNA polymerase, Rpb5, N-terminal"
"BnaC06g23500D"	"Protein kinase, catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Mitogen-activated protein (MAP) kinase, conserved site, Protein kinase-like domain, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaC06g23510D"	"Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain, Peptidyl-prolyl cis-trans isomerase, FKBP-type"
"BnaC06g23550D"	"Protein kinase, catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaC06g23970D"	"Toll/interleukin-1 receptor homology (TIR) domain, Disease resistance protein, NB-ARC"
"BnaC06g23980D"	"Toll/interleukin-1 receptor homology (TIR) domain, Disease resistance protein, NB-ARC"
"BnaC06g25080D"	NA
"BnaC06g25090D"	NA
"BnaC06g26190D"	"Lipoxygenase, Lipoxygenase, LH2, Lipoxygenase, plant, Lipase/lipooxygenase, PLAT/LH2, Lipoxygenase, C-terminal, Lipoxygenase, iron binding site, Lipoxygenase, conserved site"
"BnaC06g26620D"	"Tetratricopeptide-like helical, Signal recognition particle, SRP72 subunit"
"BnaC06g26630D"	"Signal recognition particle, SRP72 subunit, RNA-binding, Signal recognition particle, SRP72 subunit"
"BnaC06g26800D"	NA
"BnaC06g27010D"	NA
"BnaC06g27020D"	"Cystathionine beta-synthase, core"
"BnaC06g27580D"	NA
"BnaC06g27650D"	"S-locus glycoprotein, Bulb-type lectin domain, Apple-like, PAN-2 domain"
"BnaC06g27730D"	"Multi antimicrobial extrusion protein"
"BnaC06g27840D"	"Protein kinase, catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Concanavalin A-like lectin/glucanase, subgroup, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaC06g28140D"	"Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Concanavalin A-like lectin/glucanase, subgroup, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaC06g28790D"	"Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Protein kinase-like domain, Tetratricopeptide-like helical, Tyrosine-protein kinase, catalytic domain"
"BnaC06g28810D"	"Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain, Malectin-like carbohydrate-binding domain"
"BnaC06g28840D"	"Photosystem II PsbY"
"BnaC06g28980D"	"Lipase, GDSL, SGNH hydrolase-type esterase domain"
"BnaC06g29200D"	"Zinc finger, RING-type, Zinc finger, RING/FYVE/PHD-type"
"BnaC06g29210D"	"Zinc finger, RING-type, Haemerythrin/HHE cation-binding motif, Zinc finger, RING/FYVE/PHD-type, Zinc finger, CTCHY-type"
"BnaC06g29350D"	"Zinc finger, CCCH-type"
"BnaC06g29460D"	"SANT/Myb domain, Homeodomain-like, Myb domain"
"BnaC06g29950D"	"ACT domain"
"BnaC06g30260D"	"Bromo adjacent homology (BAH) domain, Agenet-like domain, Tudor-like, plant"
"BnaC06g30280D"	"Ribosomal protein PSRP-3/Ycf65"
"BnaC06g30340D"	"Cation-transporting P-type ATPase, Phospholipid-transporting  P-type ATPase, subfamily IV, P-type ATPase, A  domain, P-type ATPase, phosphorylation site, HAD-like domain, P-type ATPase, cytoplasmic domain N"
"BnaC06g30870D"	"DNA-binding WRKY"
"BnaC06g31560D"	NA
"BnaC06g31570D"	"Transferase, Chloramphenicol acetyltransferase-like domain"
"BnaC06g31580D"	NA
"BnaC06g31620D"	"Transferase, Chloramphenicol acetyltransferase-like domain"
"BnaC06g31630D"	"Transferase, Chloramphenicol acetyltransferase-like domain"
"BnaC06g32020D"	NA
"BnaC06g32690D"	"Ribosomal protein S1, RNA-binding domain, Nucleic acid-binding, OB-fold, RNA-binding domain, S1"
"BnaC06g32880D"	"General substrate transporter, Sucrose/H+ symporter, plant, Major facilitator superfamily domain, general substrate transporter"
"BnaC06g33100D"	"Protein of unknown function DUF2359, TMEM214"
"BnaC06g33130D"	"Protein of unknown function DUF2359, TMEM214"
"BnaC06g33300D"	"Proteinase inhibitor I3, Kunitz legume, Kunitz inhibitor ST1-like"
"BnaC06g33330D"	"Kunitz inhibitor ST1-like"
"BnaC06g33350D"	"Endoplasmic reticulum oxidoreductin 1"
"BnaC06g33400D"	"Proteinase inhibitor I3, Kunitz legume, Kunitz inhibitor ST1-like"
"BnaC06g33640D"	"Tify, CO/COL/TOC1, conserved site"
"BnaC06g34060D"	"Toll/interleukin-1 receptor homology (TIR) domain, Disease resistance protein, NB-ARC"
"BnaC06g34310D"	NA
"BnaC06g34570D"	"Ethylene insensitive 3-like protein, DNA-binding domain"
"BnaC06g34710D"	"Kinesin, motor domain"
"BnaC06g34750D"	NA
"BnaC06g34990D"	"Sulfotransferase domain"
"BnaC06g35180D"	"RNA recognition motif domain, Nucleotide-binding, alpha-beta plait"
"BnaC06g35190D"	"Mitochondrial carrier protein, Mitochondrial substrate/solute carrier, Mitochondrial carrier domain"
"BnaC06g35330D"	"Zinc finger, RING-type, Zinc finger, RING/FYVE/PHD-type"
"BnaC06g35510D"	"SANT/Myb domain, Homeodomain-like, Myb domain"
"BnaC06g35910D"	"Cytochrome P450, Cytochrome P450, E-class, group I, Cytochrome P450, conserved site"
"BnaC06g35950D"	NA
"BnaC06g36830D"	"Peptidase S9, prolyl oligopeptidase, catalytic domain, Peptidase S9A, prolyl oligopeptidase, Peptidase S9A/B/C, oligopeptidase, N-terminal beta-propeller, Peptidase S9A, oligopeptidase, N-terminal"
"BnaC06g36860D"	"Multicopper oxidase, type 1, Cupredoxin, Multicopper oxidase, type 2, Multicopper oxidase, type 3"
"BnaC06g37020D"	NA
"BnaC06g37490D"	"Calcium-binding EF-hand, EF-hand-like domain, EF-Hand 1, calcium-binding site"
"BnaC06g37560D"	NA
"BnaC06g37810D"	"DnaJ domain, DNAJ-containing protein, X-domain"
"BnaC06g37860D"	"Alcohol dehydrogenase superfamily, zinc-type, Alcohol dehydrogenase, zinc-type, conserved site, GroES-like, Alcohol dehydrogenase, C-terminal, Alcohol dehydrogenase GroES-like, NAD(P)-binding domain"
"BnaC06g37920D"	"AP2/ERF domain, DNA-binding, integrase-type"
"BnaC06g37940D"	"Sugar/inositol transporter, General substrate transporter, Sugar transporter, conserved site, Major facilitator superfamily domain, general substrate transporter, Major facilitator superfamily domain"
"BnaC06g38020D"	"Hpc2-related domain, Ubinuclein/Yemanuclein"
"BnaC06g38140D"	"Peptidase A1, Peptidase aspartic, active site, Aspartic peptidase"
"BnaC06g38200D"	"Thioredoxin, Disulphide isomerase, Protein disulphide isomerase, Thioredoxin-like fold, Thioredoxin domain, Thioredoxin, conserved site"
"BnaC06g38690D"	"Uncharacterised protein family UPF0434/Trm112"
"BnaC06g39360D"	"Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Mitochodrial transcription termination factor-related, UspA, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Concanavalin A-like lectin/glucanase, subgroup, Rossmann-like alpha/beta/alpha sandwich fold, Tyrosine-protein kinase, catalytic domain"
"BnaC06g39640D"	"Thiosulphate sulfurtransferase, conserved site, Rhodanese-like domain"
"BnaC06g39690D"	"Tetratricopeptide, MLP1/MLP2-like"
"BnaC06g40160D"	"Methyladenine glycosylase, DNA glycosylase"
"BnaC06g40220D"	"Uncharacterised domain XH"
"BnaC06g40240D"	"Major intrinsic protein, Major intrinsic protein, conserved site, Aquaporin-like"
"BnaC06g40300D"	NA
"BnaC06g40310D"	NA
"BnaC06g40330D"	"WD40 repeat, WD40/YVTN repeat-like-containing domain, WD40-repeat-containing domain, G-protein beta WD-40 repeat"
"BnaC06g40340D"	"Cation-transporting P-type ATPase, P-type ATPase, A  domain, P-type ATPase, phosphorylation site, HAD-like domain, P-type ATPase,  transmembrane domain, P-type ATPase, cytoplasmic domain N"
"BnaC06g40370D"	"Protein kinase, catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Concanavalin A-like lectin/glucanase, subgroup, Tyrosine-protein kinase, catalytic domain"
"BnaC06g40390D"	"Ribosomal protein S15, Ribosomal protein S15, bacterial-type, S15/NS1, RNA-binding"
"BnaC06g40410D"	"Transaminase, Acetylornithine/Succinylornithine family, Aminotransferase class-III, Pyridoxal phosphate-dependent transferase, major region, subdomain 1, Pyridoxal phosphate-dependent transferase, major region, subdomain 2, Pyridoxal phosphate-dependent transferase"
"BnaC06g40420D"	"Isocitrate and isopropylmalate dehydrogenases family, Isopropylmalate dehydrogenase, Isocitrate/isopropylmalate dehydrogenase, conserved site, Isopropylmalate dehydrogenase-like domain"
"BnaC06g40430D"	"Pentatricopeptide repeat"
"BnaC06g40510D"	"Helicase, C-terminal, Zinc finger, CCHC-type, DNA/RNA helicase, DEAD/DEAH box type, N-terminal, Helicase, superfamily 1/2, ATP-binding domain, RNA helicase, DEAD-box type, Q motif"
"BnaC06g40530D"	"Pyrophosphate-energised proton pump"
"BnaC06g40550D"	"Glycerol kinase, Carbohydrate kinase, FGGY, conserved site, Carbohydrate kinase, FGGY, N-terminal, Carbohydrate kinase, FGGY, C-terminal"
"BnaC06g40570D"	"Kelch repeat type 1, Galactose oxidase, beta-propeller"
"BnaC06g40590D"	"Tetratricopeptide-like helical, Tetratricopeptide repeat-containing domain, Tetratricopeptide repeat, N-terminal acetyltransferase A, auxiliary subunit"
"BnaC06g40610D"	NA
"BnaC06g40620D"	"Cyclin, C-terminal domain, Cyclin, N-terminal, Cyclin-like, Cyclin A/B/D/E"
"BnaC06g40630D"	"Aminotransferases, class-I, pyridoxal-phosphate-binding site, Aminotransferase, class I/classII, Pyridoxal phosphate-dependent transferase, major region, subdomain 1, Pyridoxal phosphate-dependent transferase, major region, subdomain 2, Pyridoxal phosphate-dependent transferase"
"BnaC06g40660D"	"ADP/ATP carrier protein"
"BnaC06g40700D"	"Tetratricopeptide-like helical"
"BnaC06g40720D"	"F-box domain, cyclin-like, Phloem protein 2-like"
"BnaC06g40840D"	"WD40 repeat, WD40/YVTN repeat-like-containing domain, WD40-repeat-containing domain, WD40 repeat, conserved site, G-protein beta WD-40 repeat"
"BnaC06g41200D"	"Zinc finger, GATA-type, Zinc finger, NHR/GATA-type"
"BnaC06g41220D"	"Clp, N-terminal"
"BnaC06g41260D"	"Glycosyl transferase, family 14"
"BnaC06g41720D"	"Rossmann-like alpha/beta/alpha sandwich fold, NAD/GMP synthase"
"BnaC06g41920D"	NA
"BnaC06g41940D"	"Pectinesterase, catalytic, Pectinesterase inhibitor, Pectin lyase fold/virulence factor, Pectin lyase fold, Pectinesterase, active site"
"BnaC06g42170D"	NA
"BnaC06g42250D"	"Glycerol-3-phosphate dehydrogenase, NAD-dependent, C-terminal, Glycerol-3-phosphate dehydrogenase, NAD-dependent, 6-phosphogluconate dehydrogenase, C-terminal-like, Glycerol-3-phosphate dehydrogenase, NAD-dependent, N-terminal, Dehydrogenase, multihelical, NAD(P)-binding domain, Glycerol-3-phosphate dehydrogenase, NAD-dependent, eukaryotic"
"BnaC06g42290D"	"Nin one binding (NOB1) Zn-ribbon-like"
"BnaC06g42550D"	"Ribosomal protein S21e, Ribosomal protein S21e, conserved site"
"BnaC06g42600D"	NA
"BnaC06g43010D"	"DNA recombination and repair protein RecA"
"BnaC06g43090D"	"Protein of unknown function DUF761, plant"
"BnaC06g43750D"	"Bet v I domain, START-like domain, Major latex protein domain"
"BnaC06g43820D"	"HAD-superfamily hydrolase, subfamily IB, PSPase-like, Pyridoxal phosphate phosphatase-related, Phosphatase PHOSPHO-type, HAD-like domain"
"BnaC07g00090D"	NA
"BnaC07g00880D"	NA
"BnaC07g01480D"	"Ribosomal protein L31e, Ribosomal protein L31e, conserved site, Ribosomal protein L31e domain"
"BnaC07g03580D"	"Inorganic pyrophosphatase"
"BnaC07g03750D"	"Aromatic amino acid beta-eliminating lyase/threonine aldolase, Pyridoxal phosphate-dependent transferase, major region, subdomain 1, Pyridoxal phosphate-dependent transferase"
"BnaC07g04080D"	NA
"BnaC07g04320D"	"Nucleic acid-binding, OB-fold"
"BnaC07g04670D"	"Leucine-rich repeat, Leucine-rich repeat-containing N-terminal, type 2, Leucine rich repeat 4"
"BnaC07g05150D"	"ABC transporter, ABCE"
"BnaC07g05450D"	NA
"BnaC07g05990D"	NA
"BnaC07g06470D"	"ARID/BRIGHT DNA-binding domain, Alpha crystallin/Hsp20 domain, HSP20-like chaperone, Domain of unknown function DUF1985"
"BnaC07g06980D"	NA
"BnaC07g07010D"	"Glycoside hydrolase, family 28, Parallel beta-helix repeat, Pectin lyase fold/virulence factor, Pectin lyase fold"
"BnaC07g07750D"	NA
"BnaC07g08090D"	"Glucose-methanol-choline oxidoreductase, N-terminal, Glucose-methanol-choline oxidoreductase, C-terminal, Alcohol dehydrogenase, long-chain fatty"
"BnaC07g08100D"	"Plastid lipid-associated protein/fibrillin conserved domain"
"BnaC07g08220D"	"Putative S-adenosyl-L-methionine-dependent methyltransferase"
"BnaC07g08370D"	"Myc-type, basic helix-loop-helix (bHLH) domain"
"BnaC07g08390D"	NA
"BnaC07g09220D"	"Nucleic acid-binding, OB-fold, Replication factor A, C-terminal"
"BnaC07g09400D"	"Chlorophyll A-B binding protein, plant, Chlorophyll A-B binding protein, Chlorophyll a/b binding protein domain"
"BnaC07g09410D"	NA
"BnaC07g09600D"	"Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Concanavalin A-like lectin/glucanase, subgroup, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaC07g09820D"	"Translation Initiation factor eIF- 4e, Eukaryotic translation initiation factor 4E (eIF-4E), conserved site, Translation Initiation factor eIF- 4e-like  domain"
"BnaC07g10140D"	"Target SNARE coiled-coil domain"
"BnaC07g10150D"	"PMR5 N-terminal domain, PC-Esterase"
"BnaC07g10170D"	"Conserved hypothetical protein CHP02058, Tubulin/FtsZ, 2-layer sandwich domain"
"BnaC07g10250D"	"Lipase, GDSL, SGNH hydrolase-type esterase domain"
"BnaC07g10260D"	"Lipase, GDSL, SGNH hydrolase-type esterase domain"
"BnaC07g10560D"	NA
"BnaC07g10740D"	"HEAT, Armadillo-like helical, Armadillo-type fold, HEAT, type 2"
"BnaC07g11430D"	"Plant specific mitochondrial import receptor subunit TOM20, Tetratricopeptide-like helical"
"BnaC07g11600D"	"Translin, Translin, C-terminal"
"BnaC07g12580D"	NA
"BnaC07g12950D"	NA
"BnaC07g12960D"	NA
"BnaC07g13080D"	NA
"BnaC07g13160D"	"Ubiquitin-conjugating enzyme, E2, Ubiquitin-conjugating enzyme/RWD-like"
"BnaC07g13260D"	NA
"BnaC07g13330D"	NA
"BnaC07g13580D"	"Tetratricopeptide-like helical, Tetratricopeptide repeat-containing domain, Tetratricopeptide repeat"
"BnaC07g13620D"	NA
"BnaC07g13770D"	NA
"BnaC07g13810D"	"Methyl-CpG DNA binding"
"BnaC07g13820D"	"14-3-3 protein, 14-3-3 protein, conserved site, 14-3-3 domain"
"BnaC07g13880D"	NA
"BnaC07g14720D"	NA
"BnaC07g14830D"	NA
"BnaC07g15040D"	"Sec63 domain"
"BnaC07g15140D"	NA
"BnaC07g15150D"	"Domain of unknown function DUF4283, Zinc knuckle CX2CX4HX4C"
"BnaC07g15190D"	"EPS15 homology (EH), Calcium-binding EF-hand, EF-hand-like domain, EF-Hand 1, calcium-binding site"
"BnaC07g15280D"	"Catalase haem-binding site, Catalase immune-responsive domain, Catalase core domain, Catalase, mono-functional, haem-containing, Catalase-like domain"
"BnaC07g15660D"	"SAM dependent carboxyl methyltransferase"
"BnaC07g16020D"	"Cytochrome P450, Cytochrome P450, E-class, group I, Cytochrome P450, conserved site"
"BnaC07g16170D"	"Proteinase inhibitor I25, cystatin, conserved region, Cystatin"
"BnaC07g17170D"	"SNF2-related, Helicase, C-terminal, Zinc finger, RING-type, Zinc finger, RING/FYVE/PHD-type, Helicase, superfamily 1/2, ATP-binding domain, HIP116, Rad5p N-terminal, Zinc finger, RING-type, conserved site"
"BnaC07g17220D"	"Peptidase M20, Amidase, hydantoinase/carbamoylase, Peptidase M20, dimerisation domain"
"BnaC07g17910D"	"Protein prenyltransferase, alpha subunit"
"BnaC07g17990D"	"Kelch repeat type 1, Kelch-type beta propeller, Galactose oxidase, beta-propeller"
"BnaC07g18300D"	NA
"BnaC07g19080D"	NA
"BnaC07g19900D"	"Protein of unknown function DUF581"
"BnaC07g20680D"	"Ribose 5-phosphate isomerase, type A, Ribose-5-phosphate isomerase, type A, subgroup"
"BnaC07g20860D"	"GHMP kinase, C-terminal domain"
"BnaC07g20970D"	NA
"BnaC07g21120D"	NA
"BnaC07g21340D"	"Metallophosphoesterase domain"
"BnaC07g21620D"	NA
"BnaC07g21730D"	"SNARE associated Golgi protein"
"BnaC07g21740D"	"Glutathione S-transferase, N-terminal, Maleylacetoacetate isomerase, Glutathione S-transferase, C-terminal-like, Thioredoxin-like fold, Glutathione S-transferase/chloride channel, C-terminal"
"BnaC07g21840D"	"Pectate lyase/Amb allergen, Pectate lyase, N-terminal, Pectin lyase fold/virulence factor, Pectin lyase fold, AmbAllergen"
"BnaC07g21910D"	"Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaC07g22130D"	"Peptidase A1, Aspartic peptidase"
"BnaC07g22260D"	"Glycosyltransferase AER61, uncharacterised"
"BnaC07g22950D"	NA
"BnaC07g23010D"	"Protein kinase, catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Tyrosine-protein kinase, catalytic domain"
"BnaC07g23230D"	NA
"BnaC07g23300D"	"Ricin B lectin domain, Glycoside hydrolase, family 5, Glycoside hydrolase, catalytic domain, Glycoside hydrolase, superfamily"
"BnaC07g23510D"	"Cytochrome P450, Cytochrome P450, E-class, group I, Cytochrome P450, conserved site"
"BnaC07g23920D"	"Diacylglycerol acyltransferase"
"BnaC07g24370D"	"Protein of unknown function DUF707"
"BnaC07g24400D"	"Cytochrome P450, Cytochrome P450, E-class, group I, Cytochrome P450, conserved site"
"BnaC07g24490D"	"Sucraseferredoxin-like, Thioredoxin-like fold"
"BnaC07g24530D"	"NB-ARC, Powdery mildew resistance protein, RPW8 domain"
"BnaC07g24860D"	"SWEET sugar transporter"
"BnaC07g24940D"	"Protein kinase, catalytic domain, Leucine-rich repeat, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Leucine-rich repeat, typical subtype, Protein kinase-like domain, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaC07g24960D"	"Drug/metabolite transporter"
"BnaC07g24970D"	NA
"BnaC07g25230D"	NA
"BnaC07g25430D"	"AIG2-like, Butirosin biosynthesis, BtrG-like"
"BnaC07g25650D"	"Calycin, Domain of unknown function DUF3598"
"BnaC07g26180D"	NA
"BnaC07g26300D"	"Thiolase, Thiolase-like, subgroup, Thiolase-like, Thiolase, active site, Thiolase, conserved site, Thiolase, acyl-enzyme intermediate active site, Thiolase, N-terminal, Thiolase, C-terminal"
"BnaC07g26380D"	"Transmembrane protein 194"
"BnaC07g26700D"	NA
"BnaC07g26710D"	"Pentatricopeptide repeat, Tetratricopeptide-like helical"
"BnaC07g26730D"	"Ribosomal protein L13, eukaryotic/archaeal, Ribosomal protein L13, Ribosomal protein L13, conserved site, Ribosomal protein L13 domain"
"BnaC07g27000D"	"Protein arginine N-methyltransferase CARM1, Protein arginine N-methyltransferase"
"BnaC07g27020D"	NA
"BnaC07g27530D"	NA
"BnaC07g27560D"	"Cytidyltransferase-like domain, Rossmann-like alpha/beta/alpha sandwich fold, Transmembrane protein 194"
"BnaC07g30010D"	"6-phosphogluconolactonase, DevB-type, Glucosamine/galactosamine-6-phosphate isomerase"
"BnaC07g30380D"	"FMN-binding split barrel"
"BnaC07g30440D"	"Terpene synthase, metal-binding domain, Terpenoid synthase"
"BnaC07g30450D"	"Terpene synthase, N-terminal domain, Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid"
"BnaC07g31350D"	"AP2/ERF domain, DNA-binding, integrase-type"
"BnaC07g33110D"	"Uncharacterised protein family UPF0497, trans-membrane plant subgroup, Uncharacterised protein family UPF0497, trans-membrane plant"
"BnaC07g33310D"	"WD40 repeat, WD40/YVTN repeat-like-containing domain, WD40-repeat-containing domain, WD40 repeat, conserved site, G-protein beta WD-40 repeat"
"BnaC07g33330D"	"Dynein light chain, type 1/2, Dynein light chain, type 1/2, conserved site"
"BnaC07g33350D"	NA
"BnaC07g33370D"	NA
"BnaC07g33640D"	"Uncharacterised protein family Ycf33"
"BnaC07g33980D"	"Leucine-rich repeat, Leucine-rich repeat 3, Chromatin SPT2"
"BnaC07g33990D"	"Leucine-rich repeat, Leucine-rich repeat 3"
"BnaC07g34000D"	"Toll/interleukin-1 receptor homology (TIR) domain, Disease resistance protein, NB-ARC"
"BnaC07g34140D"	"Ankyrin repeat, Ankyrin repeat-containing domain, PGG domain"
"BnaC07g34240D"	NA
"BnaC07g34420D"	"Major facilitator superfamily, Major facilitator superfamily domain, general substrate transporter, Major facilitator superfamily domain"
"BnaC07g35050D"	"Neutrophil cytosol factor 2 p67phox, Src homology-3 domain"
"BnaC07g35100D"	"Ribosomal protein L32e, Ribosomal protein L32e, conserved site"
"BnaC07g35150D"	"Domain of unknown function DUF250"
"BnaC07g35840D"	NA
"BnaC07g35930D"	"Toll/interleukin-1 receptor homology (TIR) domain, Disease resistance protein, Leucine-rich repeat, NB-ARC"
"BnaC07g36070D"	"Glutathione S-transferase, C-terminal-like, Thioredoxin-like fold, Glutathione S-transferase (GST), Glutathione S-transferase/chloride channel, C-terminal"
"BnaC07g36400D"	"Calcium-binding EF-hand, EF-hand-like domain, EF-Hand 1, calcium-binding site"
"BnaC07g36610D"	"Pentatricopeptide repeat"
"BnaC07g37200D"	"Aminoacyl-tRNA synthetase, class I, conserved site, Aminoacyl-tRNA synthetase, class Ia, Isoleucine-tRNA ligase, Valyl/Leucyl/Isoleucyl-tRNA synthetase, class Ia, editing domain, Aminoacyl-tRNA synthetase, class 1a, anticodon-binding, Valyl/Leucyl/Isoleucyl-tRNA synthetase, class I, anticodon-binding, Rossmann-like alpha/beta/alpha sandwich fold, Isoleucine-tRNA ligase, type 2"
"BnaC07g37700D"	"WD40 repeat, WD40/YVTN repeat-like-containing domain, WD40-repeat-containing domain, WD40 repeat, conserved site"
"BnaC07g38620D"	"Late embryogenesis abundant protein, LEA-14"
"BnaC07g38870D"	NA
"BnaC07g39140D"	"AAA+ ATPase domain, ATPase, AAA-type, core"
"BnaC07g39190D"	"Protein translocase complex, SecE/Sec61-gamma subunit, Protein translocase SEC61 complex,  gamma subunit, Protein translocase SecE domain"
"BnaC07g39280D"	"Methyltransferase small domain, Magnesium-protoporphyrin IX methyltransferase, Magnesium-protoporphyrin IX methyltransferase, C-terminal"
"BnaC07g40210D"	"Peptidase S8/S53 domain, Proteinase inhibitor I9, Peptidase S8, subtilisin-related, Peptidase S8, subtilisin, Ser-active site"
"BnaC07g40350D"	"Translation initiation factor SUI1, Eukaryotic translation initiation factor SUI1"
"BnaC07g40370D"	"Ribosomal protein L14, Ribosomal protein L2 domain 2"
"BnaC07g40390D"	"Thioredoxin-like fold, Endoplasmic reticulum vesicle transporter, C-terminal, Thioredoxin domain"
"BnaC07g40480D"	"Senescence regulator"
"BnaC07g40700D"	"Oligopeptide transporter OPT superfamily"
"BnaC07g40730D"	"Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain, Peptidyl-prolyl cis-trans isomerase, FKBP-type"
"BnaC07g41090D"	"SET domain, Zinc finger, PHD-type, Post-SET domain, Zinc finger, FYVE/PHD-type, Zinc finger, RING/FYVE/PHD-type, Zinc finger, PHD-finger, Histone-lysine N-methyltransferase ATX"
"BnaC07g41550D"	"DNA methylase, N-6 adenine-specific, conserved site"
"BnaC07g42400D"	"Cation-transporting P-type ATPase, Cation-transporting P-type ATPase, N-terminal, H+ transporting P-type ATPase, subfamily IIIA, P-type ATPase, A  domain, P-type ATPase, phosphorylation site, HAD-like domain, P-type ATPase,  transmembrane domain, P-type ATPase, cytoplasmic domain N"
"BnaC07g42710D"	"Protein kinase, catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Leucine-rich repeat-containing N-terminal, type 2, Concanavalin A-like lectin/glucanase, subgroup, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaC07g42720D"	"Glutamine amidotransferase type 1"
"BnaC07g42740D"	"Bacterial transferase hexapeptide repeat, Nucleotidyl transferase"
"BnaC07g42900D"	NA
"BnaC07g43290D"	NA
"BnaC07g43920D"	NA
"BnaC07g44910D"	NA
"BnaC07g46060D"	"Aldehyde dehydrogenase NAD(P)-dependent, Aldehyde dehydrogenase domain, Aldehyde/histidinol dehydrogenase, Aldehyde dehydrogenase, N-terminal, Aldehyde dehydrogenase, C-terminal"
"BnaC07g46380D"	"SANT/Myb domain, Tubulin/FtsZ, GTPase domain, Myb domain, plants, Homeodomain-like, Myb domain, Misato Segment II, myosin-like"
"BnaC07g48110D"	"Zinc finger, RanBP2-type"
"BnaC07g48400D"	"UDP-glucuronosyl/UDP-glucosyltransferase"
"BnaC07g49170D"	"Transcription factor GRAS"
"BnaC07g49570D"	NA
"BnaC07g50250D"	"Bet v I domain, START-like domain, Major latex protein domain"
"BnaC07g50730D"	"Methyltransferase type 11"
"BnaC08g00210D"	"Peptidase A1, Aspartic peptidase"
"BnaC08g00300D"	NA
"BnaC08g00310D"	"Nucleic acid-binding, OB-fold"
"BnaC08g00710D"	"PAK-box/P21-Rho-binding"
"BnaC08g00960D"	NA
"BnaC08g01470D"	"Protein kinase, catalytic domain, Leucine-rich repeat, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Concanavalin A-like lectin/glucanase, subgroup, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain, Malectin-like carbohydrate-binding domain"
